iter	MAE
366	1.344665396
367	1.344658495
368	1.344461242
369	1.344338568
370	1.344223464
371	1.344154841
372	1.344035954
373	1.343992424
374	1.343974453
375	1.343771927
376	1.343666997
377	1.343423119
378	1.343212153
379	1.343031604
380	1.3428145
381	1.342676727
382	1.342671169
383	1.34261294
384	1.342533784
385	1.342339655
386	1.342237353
387	1.342178078
388	1.341977414
389	1.341866209
390	1.341825886
391	1.341764476
392	1.341683001
393	1.341629489
394	1.341570761
395	1.341407536
396	1.34125739
397	1.341095794
398	1.341027427
399	1.340995599
400	1.340901214
401	1.340757066
402	1.34065347
403	1.340489175
404	1.340459086
405	1.340427121
406	1.34035232
407	1.340197915
408	1.340048709
409	1.339943165
410	1.339868607
411	1.339725002
412	1.3396839
413	1.339678441
414	1.339646729
415	1.339414639
416	1.339340124
417	1.339258921
418	1.339231638
419	1.339226884
420	1.339046829
421	1.339042038
422	1.338899718
423	1.33873759
424	1.338621487
425	1.338608016
426	1.33830245
427	1.33827295
428	1.338237076
429	1.338217399
430	1.338142536
431	1.33808576
432	1.3380382
433	1.338012104
434	1.337990592
435	1.33788667
436	1.337756469
437	1.33775376
438	1.337741372
439	1.337659204
440	1.337629562
441	1.337483625
442	1.33742151
443	1.337333774
444	1.33717959
445	1.337147519
446	1.337030157
447	1.336848241
448	1.336798315
449	1.336712112
450	1.336624466
451	1.336528567
452	1.336507328
453	1.336495765
454	1.336305821
455	1.336297579
456	1.336294031
457	1.336283896
458	1.336132422
459	1.336001285
460	1.335939272
461	1.335918534
462	1.335801659
463	1.335684818
464	1.335603484
465	1.335575389
466	1.335453114
467	1.335339168
468	1.335285238
469	1.335102696
470	1.33508669
471	1.33501128
472	1.334849054
473	1.334799399
474	1.334757881
475	1.334636499
476	1.334562735
477	1.33435846
478	1.334296726
479	1.334187385
480	1.334176288
481	1.334096848
482	1.334062028
483	1.333966155
484	1.33383142
485	1.333759986
486	1.333597555
487	1.333480373
488	1.333412756
489	1.333388654
490	1.333242323
491	1.333158627
492	1.333038757
493	1.333033898
494	1.332901217
495	1.332897802
496	1.332833641
497	1.332807566
498	1.332696157
499	1.332582818
500	1.332558593
501	1.332511337
502	1.332505679
503	1.332406283
504	1.33229322
505	1.332170909
506	1.332157108
507	1.33204958
508	1.332016919
509	1.331832407
510	1.331782299
511	1.331710657
512	1.331644119
513	1.331590348
514	1.331505257
515	1.331437675
516	1.331420603
517	1.331304584
518	1.331265711
519	1.331208972
520	1.331072403
521	1.330882977
522	1.330850139
523	1.330775774
524	1.330614945
525	1.330598314
526	1.330572064
527	1.330547756
528	1.330545942
529	1.330492934
530	1.330356487
531	1.330264907
532	1.330243268
533	1.330219308
534	1.330178739
535	1.330050311
536	1.329982866
537	1.329877282
538	1.329798154
539	1.329722692
540	1.329620467
541	1.329565713
542	1.329449703
543	1.329428793
544	1.329347394
545	1.329332976
546	1.329230055
547	1.329129047
548	1.3291205
549	1.329049935
550	1.328872481
551	1.328822464
552	1.328795572
553	1.328787586
554	1.328708041
555	1.328626967
556	1.328595219
557	1.328581501
558	1.328514985
559	1.328509589
560	1.328390816
561	1.328327189
562	1.328210073
563	1.328068845
564	1.328048042
565	1.327933879
566	1.327804109
567	1.327709218
568	1.327663238
569	1.327611659
570	1.327567851
571	1.327436675
572	1.327408198
573	1.327393967
574	1.327334599
575	1.327308732
576	1.327214715
577	1.327089962
578	1.327058757
579	1.327031619
580	1.326962738
581	1.326851611
582	1.326831591
583	1.326808993
584	1.32678593
585	1.326748809
586	1.32660235
587	1.32657846
588	1.326561824
589	1.326493599
590	1.326357763
591	1.326341422
592	1.326287473
593	1.326260311
594	1.326246539
595	1.326190545
596	1.326176219
597	1.326145324
598	1.326085371
599	1.3260016
600	1.325933872
601	1.325890074
602	1.325855443
603	1.325787285
604	1.325766116
605	1.325753521
606	1.32573097
607	1.325633273
608	1.325597804
609	1.325532684
610	1.32548194
611	1.325348955
612	1.32532388
613	1.325172696
614	1.325128348
615	1.325002158
616	1.324988039
617	1.324978998
618	1.324895571
619	1.324798526
620	1.324741741
621	1.324631381
622	1.324614671
623	1.324596114
624	1.324554252
625	1.324468729
626	1.324399776
627	1.324373886
628	1.324332632
629	1.324293107
630	1.324238045
631	1.324175568
632	1.324057723
633	1.324002211
634	1.323917635
635	1.323862621
636	1.323833957
637	1.323813803
638	1.323693973
639	1.323590151
640	1.323542276
641	1.323477862
642	1.323380656
643	1.323355168
644	1.323325706
645	1.323313568
646	1.323163939
647	1.323127396
648	1.323100742
649	1.323077474
650	1.323030544
651	1.322980442
652	1.322924382
653	1.322919722
654	1.32291508
655	1.322898288
656	1.32279658
657	1.322785145
658	1.322750971
659	1.322574989
660	1.322560194
661	1.322395467
662	1.322384371
663	1.322300278
664	1.322285676
665	1.322280488
666	1.322274997
667	1.322269456
668	1.322242193
669	1.322229235
670	1.322223954
671	1.322100517
672	1.322017987
673	1.321926503
674	1.321831362
675	1.321827968
676	1.321818842
677	1.321808052
678	1.321716358
679	1.321576937
680	1.321443694
681	1.321406766
682	1.321257477
683	1.321212625
684	1.321191105
685	1.321182334
686	1.321097119
687	1.321006462
688	1.320960118
689	1.320949621
690	1.320913903
691	1.320869631
692	1.320789038
693	1.320630691
694	1.320537163
695	1.320535187
696	1.32047533
697	1.320379379
698	1.320279077
699	1.320271335
700	1.320158266
701	1.320127054
702	1.320044944
703	1.319995524
704	1.319980544
705	1.319971101
706	1.319907252
707	1.319879123
708	1.319833404
709	1.319825066
710	1.319731758
711	1.31965099
712	1.319640679
713	1.319546994
714	1.319516257
715	1.319498803
716	1.31942012
717	1.319374303
718	1.319339072
719	1.319330862
720	1.319275578
721	1.31915443
722	1.319148275
723	1.319145158
724	1.319094223
725	1.319002184
726	1.318922404
727	1.318903733
728	1.318802088
729	1.318754228
730	1.318636406
731	1.318626426
732	1.318558014
733	1.318541554
734	1.318523205
735	1.318497541
736	1.318447732
737	1.318365255
738	1.318359728
739	1.31829433
740	1.318280042
741	1.318272079
742	1.318239221
743	1.318203515
744	1.318193273
745	1.31816922
746	1.318166051
747	1.318155052
748	1.318133474
749	1.318112659
750	1.317961594
751	1.317950619
752	1.31785916
753	1.317840583
754	1.317809632
755	1.317796959
756	1.317676655
757	1.317639676
758	1.317544934
759	1.317531442
760	1.317505132
761	1.317427362
762	1.317400471
763	1.317296269
764	1.317265415
765	1.317235219
766	1.317215564
767	1.317183371
768	1.31717543
769	1.317147713
770	1.317141166
771	1.317096332
772	1.317086624
773	1.317075301
774	1.317071135
775	1.317061155
776	1.317009037
777	1.31694222
778	1.316889381
779	1.31686017
780	1.316803301
781	1.316794095
782	1.316786475
783	1.316781409
784	1.316696932
785	1.316675776
786	1.31664891
787	1.316643676
788	1.316621252
789	1.316429461
790	1.316421606
791	1.316416231
792	1.316410731
793	1.316350604
794	1.316276699
795	1.31626211
796	1.316233496
797	1.316121313
798	1.316109309
799	1.316108203
800	1.316072225
801	1.316019611
802	1.316016268
803	1.315985551
804	1.315975901
805	1.315917956
806	1.315884109
807	1.31585871
808	1.315809494
809	1.31574287
810	1.315731659
811	1.315711729
812	1.315707156
813	1.315663634
814	1.315661991
815	1.315619422
816	1.315608693
817	1.315401527
818	1.315375972
819	1.315374389
820	1.315339965
821	1.31525279
822	1.315251993
823	1.315216788
824	1.315170068
825	1.315112703
826	1.31503145
827	1.314920687
828	1.314887672
829	1.314878084
830	1.314874897
831	1.314874131
832	1.314821411
833	1.314728816
834	1.31471608
835	1.314650324
836	1.314626394
837	1.314512074
838	1.314436599
839	1.314418038
840	1.314352028
841	1.314316205
842	1.314309597
843	1.314198794
844	1.314172811
845	1.314092819
846	1.31402004
847	1.314009782
848	1.313888851
849	1.313883386
850	1.313713105
851	1.313630918
852	1.313582956
853	1.313565475
854	1.313522684
855	1.313466738
856	1.313450164
857	1.313398232
858	1.313268872
859	1.313217805
860	1.313175835
861	1.313163446
862	1.313133178
863	1.313070231
864	1.313051759
865	1.313045018
866	1.313019774
867	1.313017727
868	1.312987524
869	1.312918427
870	1.312885648
871	1.312743707
872	1.312669269
873	1.312617425
874	1.312572845
875	1.312441727
876	1.312398559
877	1.312378604
878	1.312220449
879	1.312139956
880	1.312123828
881	1.312113936
882	1.312055106
883	1.31198349
884	1.311881708
885	1.311874052
886	1.311847696
887	1.311745424
888	1.311656381
889	1.31164576
890	1.311598398
891	1.311533732
892	1.311484476
893	1.311400446
894	1.311376194
895	1.31134526
896	1.311324514
897	1.311221995
898	1.311129239
899	1.311128145
900	1.311074692
901	1.311040425
902	1.311033705
903	1.311032555
904	1.310989804
905	1.310885389
906	1.310884509
907	1.310831257
908	1.31082106
909	1.310788511
910	1.310770327
911	1.31069414
912	1.31067481
913	1.310655627
914	1.310617906
915	1.310472648
916	1.310400872
917	1.31035869
918	1.310328776
919	1.310275382
920	1.31018743
921	1.310107178
922	1.310065317
923	1.310024371
924	1.31001869
925	1.310001585
926	1.309967145
927	1.309905265
928	1.309777202
929	1.309696839
930	1.309667273
931	1.309631664
932	1.309533555
933	1.309318235
934	1.309273562
935	1.309246279
936	1.309225408
937	1.309166881
938	1.309155026
939	1.309131272
940	1.309098352
941	1.309079258
942	1.308981165
943	1.308962368
944	1.308923866
945	1.308878149
946	1.308848826
947	1.30884396
948	1.308836033
949	1.308816927
950	1.308769378
951	1.308740715
952	1.308737181
953	1.308665663
954	1.308559587
955	1.30849622
956	1.30844574
957	1.308432006
958	1.308390727
959	1.308383333
960	1.308317588
961	1.308272006
962	1.308167689
963	1.308154659
964	1.308053778
965	1.308046545
966	1.308032778
967	1.308029271
968	1.308002873
969	1.307987687
970	1.30795553
971	1.307859828
972	1.307807608
973	1.307706876
974	1.307668333
975	1.307556377
976	1.307538123
977	1.307440354
978	1.30743213
979	1.307388698
980	1.30726358
981	1.307220431
982	1.307215865
983	1.307206561
984	1.307121685
985	1.307108205
986	1.307095298
987	1.307076463
988	1.307009062
989	1.306998492
990	1.306928074
991	1.30691727
992	1.30687036
993	1.306867162
994	1.306865799
995	1.306838578
996	1.306795971
997	1.30671572
998	1.306704349
999	1.306592452
